incident_number,station_code,assignment_role,dispatched_at,cleared_at
INC-20251014-025389,STA-093,Primary Engine,2025-10-14T02:00:16+00:00,2025-10-14T06:11:16+00:00
INC-20240129-025390,STA-036,Battalion Chief,2024-01-29T10:50:51+00:00,2024-01-29T16:16:51+00:00
INC-20240129-025390,STA-018,Water Tender,2024-01-29T10:50:51+00:00,2024-01-29T15:59:51+00:00
INC-20250226-025391,STA-007,Primary Engine,2025-02-26T10:03:40+00:00,2025-02-26T16:40:40+00:00
INC-20250226-025391,STA-056,Hazmat Unit,2025-02-26T10:02:40+00:00,2025-02-26T16:46:40+00:00
INC-20250226-025391,STA-064,Hazmat Unit,2025-02-26T10:03:40+00:00,2025-02-26T16:34:40+00:00
INC-20251116-025392,STA-042,Rescue Squad,2025-11-16T07:56:30+00:00,2025-11-16T13:55:30+00:00
INC-20251116-025392,STA-045,Rescue Squad,2025-11-16T07:57:30+00:00,2025-11-16T13:50:30+00:00
INC-20251116-025392,STA-076,Primary Engine,2025-11-16T07:58:30+00:00,2025-11-16T14:23:30+00:00
INC-20240523-025393,STA-068,Rescue Squad,2024-05-23T17:50:55+00:00,2024-05-23T21:14:55+00:00
INC-20240523-025393,STA-069,Water Tender,2024-05-23T17:51:55+00:00,2024-05-23T20:49:55+00:00
INC-20250117-025394,STA-017,Primary Engine,2025-01-17T11:25:54+00:00,2025-01-17T17:54:54+00:00
INC-20241120-025395,STA-050,Water Tender,2024-11-20T13:31:35+00:00,2024-11-20T20:24:35+00:00
INC-20241120-025395,STA-020,Primary Engine,2024-11-20T13:30:35+00:00,2024-11-20T20:01:35+00:00
INC-20241120-025395,STA-082,Water Tender,2024-11-20T13:33:35+00:00,2024-11-20T20:03:35+00:00
INC-20250709-025396,STA-070,Primary Engine,2025-07-09T05:59:38+00:00,2025-07-09T10:55:38+00:00
INC-20241027-025397,STA-060,Ladder Truck,2024-10-27T19:04:05+00:00,2024-10-28T02:48:05+00:00
INC-20240908-025398,STA-012,Battalion Chief,2024-09-08T00:42:55+00:00,2024-09-08T02:46:55+00:00
INC-20240908-025398,STA-097,Rescue Squad,2024-09-08T00:42:55+00:00,2024-09-08T03:24:55+00:00
INC-20240908-025398,STA-089,Rescue Squad,2024-09-08T00:42:55+00:00,2024-09-08T03:00:55+00:00
INC-20231003-025399,STA-019,Ladder Truck,2023-10-03T08:33:41+00:00,2023-10-03T14:27:41+00:00
INC-20231003-025399,STA-076,Battalion Chief,2023-10-03T08:34:41+00:00,2023-10-03T14:31:41+00:00
INC-20241015-025400,STA-073,Ladder Truck,2024-10-15T21:08:16+00:00,2024-10-16T05:23:16+00:00
INC-20250326-025401,STA-077,Water Tender,2025-03-26T12:41:33+00:00,2025-03-26T15:16:33+00:00
INC-20250326-025401,STA-090,Ladder Truck,2025-03-26T12:42:33+00:00,2025-03-26T15:01:33+00:00
INC-20250326-025401,STA-045,Battalion Chief,2025-03-26T12:40:33+00:00,2025-03-26T14:53:33+00:00
INC-20241011-025402,STA-052,Rescue Squad,2024-10-11T19:13:16+00:00,2024-10-12T01:56:16+00:00
INC-20241011-025402,STA-022,Hazmat Unit,2024-10-11T19:11:16+00:00,2024-10-12T02:00:16+00:00
INC-20230410-025403,STA-081,Hazmat Unit,2023-04-10T13:33:24+00:00,2023-04-10T18:17:24+00:00
INC-20241213-025404,STA-040,Hazmat Unit,2024-12-13T23:07:18+00:00,2024-12-14T06:51:18+00:00
INC-20241213-025404,STA-008,Hazmat Unit,2024-12-13T23:07:18+00:00,2024-12-14T06:58:18+00:00
INC-20241213-025404,STA-020,Rescue Squad,2024-12-13T23:06:18+00:00,2024-12-14T06:50:18+00:00
INC-20240723-025405,STA-048,Hazmat Unit,2024-07-23T13:56:16+00:00,2024-07-23T17:57:16+00:00
INC-20240723-025405,STA-049,Ladder Truck,2024-07-23T13:56:16+00:00,2024-07-23T18:12:16+00:00
INC-20240723-025405,STA-050,Primary Engine,2024-07-23T13:59:16+00:00,2024-07-23T17:48:16+00:00
INC-20250504-025406,STA-053,Rescue Squad,2025-05-04T04:45:38+00:00,2025-05-04T12:11:38+00:00
INC-20250504-025406,STA-059,Hazmat Unit,2025-05-04T04:46:38+00:00,2025-05-04T11:54:38+00:00
INC-20250504-025406,STA-079,Ladder Truck,2025-05-04T04:44:38+00:00,2025-05-04T12:19:38+00:00
INC-20240316-025407,STA-040,Hazmat Unit,2024-03-16T02:58:51+00:00,2024-03-16T10:01:51+00:00
INC-20240316-025407,STA-077,Ladder Truck,2024-03-16T03:00:51+00:00,2024-03-16T10:01:51+00:00
INC-20240316-025407,STA-027,Water Tender,2024-03-16T03:00:51+00:00,2024-03-16T09:42:51+00:00
INC-20250904-025408,STA-088,Rescue Squad,2025-09-04T10:12:29+00:00,2025-09-04T19:00:29+00:00
INC-20250904-025408,STA-079,Rescue Squad,2025-09-04T10:11:29+00:00,2025-09-04T18:29:29+00:00
INC-20250904-025408,STA-092,Rescue Squad,2025-09-04T10:12:29+00:00,2025-09-04T18:51:29+00:00
INC-20240522-025409,STA-056,Primary Engine,2024-05-22T00:55:46+00:00,2024-05-22T01:37:46+00:00
INC-20240522-025409,STA-048,Battalion Chief,2024-05-22T00:53:46+00:00,2024-05-22T01:41:46+00:00
INC-20240706-025410,STA-097,Battalion Chief,2024-07-06T19:44:10+00:00,2024-07-07T04:13:10+00:00
INC-20250408-025411,STA-067,Water Tender,2025-04-08T08:23:30+00:00,2025-04-08T15:05:30+00:00
INC-20250408-025411,STA-035,Primary Engine,2025-04-08T08:24:30+00:00,2025-04-08T14:37:30+00:00
INC-20250726-025412,STA-089,Rescue Squad,2025-07-26T05:28:30+00:00,2025-07-26T13:39:30+00:00
INC-20241202-025413,STA-021,Water Tender,2024-12-02T03:10:56+00:00,2024-12-02T08:22:56+00:00
INC-20241202-025413,STA-093,Primary Engine,2024-12-02T03:06:56+00:00,2024-12-02T08:31:56+00:00
INC-20241202-025413,STA-054,Ladder Truck,2024-12-02T03:06:56+00:00,2024-12-02T08:21:56+00:00
INC-20240605-025414,STA-069,Hazmat Unit,2024-06-05T21:41:58+00:00,2024-06-06T06:12:58+00:00
INC-20240605-025414,STA-003,Rescue Squad,2024-06-05T21:43:58+00:00,2024-06-06T06:10:58+00:00
INC-20240216-025415,STA-091,Ladder Truck,2024-02-16T05:27:24+00:00,2024-02-16T14:10:24+00:00
INC-20240216-025415,STA-046,Water Tender,2024-02-16T05:26:24+00:00,2024-02-16T13:39:24+00:00
INC-20240216-025415,STA-088,Ladder Truck,2024-02-16T05:26:24+00:00,2024-02-16T14:01:24+00:00
INC-20240812-025416,STA-064,Battalion Chief,2024-08-12T20:26:13+00:00,2024-08-13T02:15:13+00:00
INC-20240812-025416,STA-074,Primary Engine,2024-08-12T20:25:13+00:00,2024-08-13T02:17:13+00:00
INC-20241014-025417,STA-054,Hazmat Unit,2024-10-14T18:22:02+00:00,2024-10-14T22:11:02+00:00
INC-20241014-025417,STA-011,Rescue Squad,2024-10-14T18:26:02+00:00,2024-10-14T22:14:02+00:00
INC-20241014-025417,STA-070,Battalion Chief,2024-10-14T18:23:02+00:00,2024-10-14T22:17:02+00:00
INC-20250124-025418,STA-071,Primary Engine,2025-01-24T19:19:44+00:00,2025-01-24T21:39:44+00:00
INC-20250824-025419,STA-092,Rescue Squad,2025-08-24T19:39:59+00:00,2025-08-24T23:23:59+00:00
INC-20250824-025419,STA-014,Battalion Chief,2025-08-24T19:38:59+00:00,2025-08-24T23:57:59+00:00
INC-20230804-025420,STA-019,Primary Engine,2023-08-04T12:52:04+00:00,2023-08-04T14:28:04+00:00
INC-20241019-025421,STA-073,Primary Engine,2024-10-19T22:02:33+00:00,2024-10-20T00:25:33+00:00
INC-20250312-025422,STA-025,Rescue Squad,2025-03-12T08:29:24+00:00,2025-03-12T15:28:24+00:00
INC-20250312-025422,STA-050,Battalion Chief,2025-03-12T08:28:24+00:00,2025-03-12T15:44:24+00:00
INC-20250312-025422,STA-046,Hazmat Unit,2025-03-12T08:27:24+00:00,2025-03-12T15:39:24+00:00
INC-20250919-025423,STA-034,Battalion Chief,2025-09-19T14:24:09+00:00,2025-09-19T20:59:09+00:00
INC-20250919-025423,STA-038,Water Tender,2025-09-19T14:27:09+00:00,2025-09-19T20:58:09+00:00
INC-20250919-025423,STA-079,Water Tender,2025-09-19T14:25:09+00:00,2025-09-19T21:31:09+00:00
INC-20251104-025424,STA-081,Hazmat Unit,2025-11-04T08:39:05+00:00,2025-11-04T15:35:05+00:00
INC-20251104-025424,STA-057,Hazmat Unit,2025-11-04T08:40:05+00:00,2025-11-04T15:02:05+00:00
INC-20251104-025424,STA-028,Water Tender,2025-11-04T08:39:05+00:00,2025-11-04T15:17:05+00:00
INC-20251007-025425,STA-026,Water Tender,2025-10-07T04:06:00+00:00,2025-10-07T12:39:00+00:00
INC-20251007-025425,STA-038,Battalion Chief,2025-10-07T04:06:00+00:00,2025-10-07T12:36:00+00:00
INC-20250322-025426,STA-044,Ladder Truck,2025-03-22T08:47:05+00:00,2025-03-22T17:20:05+00:00
INC-20250417-025427,STA-021,Hazmat Unit,2025-04-17T16:28:59+00:00,2025-04-17T21:14:59+00:00
INC-20250226-025428,STA-100,Rescue Squad,2025-02-26T09:12:59+00:00,2025-02-26T10:26:59+00:00
INC-20250226-025428,STA-090,Primary Engine,2025-02-26T09:14:59+00:00,2025-02-26T10:57:59+00:00
INC-20250312-025429,STA-010,Water Tender,2025-03-12T18:38:05+00:00,2025-03-12T23:00:05+00:00
INC-20250312-025429,STA-004,Primary Engine,2025-03-12T18:37:05+00:00,2025-03-12T22:52:05+00:00
INC-20240131-025430,STA-087,Primary Engine,2024-01-31T04:50:19+00:00,2024-01-31T09:24:19+00:00
INC-20240131-025430,STA-043,Rescue Squad,2024-01-31T04:53:19+00:00,2024-01-31T09:06:19+00:00
INC-20251008-025431,STA-061,Rescue Squad,2025-10-08T05:18:20+00:00,2025-10-08T11:42:20+00:00
INC-20251008-025431,STA-062,Primary Engine,2025-10-08T05:19:20+00:00,2025-10-08T11:24:20+00:00
INC-20251008-025431,STA-012,Rescue Squad,2025-10-08T05:19:20+00:00,2025-10-08T11:46:20+00:00
INC-20250309-025432,STA-003,Battalion Chief,2025-03-09T13:12:37+00:00,2025-03-09T18:54:37+00:00
INC-20250309-025432,STA-095,Battalion Chief,2025-03-09T13:09:37+00:00,2025-03-09T18:41:37+00:00
INC-20241225-025433,STA-002,Ladder Truck,2024-12-25T19:47:49+00:00,2024-12-26T03:26:49+00:00
INC-20240723-025434,STA-095,Battalion Chief,2024-07-23T05:55:44+00:00,2024-07-23T11:13:44+00:00
INC-20241220-025435,STA-024,Hazmat Unit,2024-12-20T19:51:35+00:00,2024-12-21T01:32:35+00:00
INC-20241220-025435,STA-092,Rescue Squad,2024-12-20T19:50:35+00:00,2024-12-21T01:26:35+00:00
INC-20250301-025436,STA-034,Hazmat Unit,2025-03-01T08:41:09+00:00,2025-03-01T12:56:09+00:00
INC-20250301-025436,STA-011,Primary Engine,2025-03-01T08:39:09+00:00,2025-03-01T13:05:09+00:00
INC-20240217-025437,STA-070,Water Tender,2024-02-17T04:13:57+00:00,2024-02-17T07:00:57+00:00
INC-20240217-025437,STA-076,Battalion Chief,2024-02-17T04:13:57+00:00,2024-02-17T06:39:57+00:00
INC-20250319-025438,STA-040,Battalion Chief,2025-03-19T21:00:32+00:00,2025-03-20T05:15:32+00:00
INC-20250816-025439,STA-025,Rescue Squad,2025-08-16T18:18:18+00:00,2025-08-16T20:37:18+00:00
INC-20241129-025440,STA-083,Hazmat Unit,2024-11-29T15:30:35+00:00,2024-11-29T17:38:35+00:00
INC-20231129-025441,STA-041,Rescue Squad,2023-11-29T20:52:44+00:00,2023-11-30T02:16:44+00:00
INC-20231129-025441,STA-014,Ladder Truck,2023-11-29T20:56:44+00:00,2023-11-30T02:09:44+00:00
INC-20231129-025441,STA-061,Rescue Squad,2023-11-29T20:53:44+00:00,2023-11-30T02:25:44+00:00
INC-20250318-025442,STA-002,Ladder Truck,2025-03-18T17:20:57+00:00,2025-03-19T00:02:57+00:00
INC-20250318-025442,STA-078,Ladder Truck,2025-03-18T17:21:57+00:00,2025-03-18T23:54:57+00:00
INC-20240224-025443,STA-093,Battalion Chief,2024-02-24T10:17:01+00:00,2024-02-24T12:31:01+00:00
INC-20240224-025443,STA-077,Rescue Squad,2024-02-24T10:21:01+00:00,2024-02-24T12:27:01+00:00
INC-20241212-025444,STA-034,Ladder Truck,2024-12-12T10:51:57+00:00,2024-12-12T14:22:57+00:00
INC-20240114-025445,STA-060,Rescue Squad,2024-01-14T23:40:42+00:00,2024-01-15T05:03:42+00:00
INC-20240114-025445,STA-100,Battalion Chief,2024-01-14T23:43:42+00:00,2024-01-15T04:47:42+00:00
INC-20250625-025446,STA-087,Primary Engine,2025-06-25T18:17:35+00:00,2025-06-26T00:56:35+00:00
INC-20250625-025446,STA-012,Rescue Squad,2025-06-25T18:18:35+00:00,2025-06-26T01:11:35+00:00
INC-20250625-025446,STA-059,Primary Engine,2025-06-25T18:17:35+00:00,2025-06-26T00:51:35+00:00
INC-20230228-025447,STA-029,Primary Engine,2023-02-28T08:31:33+00:00,2023-02-28T12:14:33+00:00
INC-20230228-025447,STA-063,Ladder Truck,2023-02-28T08:34:33+00:00,2023-02-28T12:33:33+00:00
INC-20251019-025448,STA-095,Water Tender,2025-10-19T21:15:27+00:00,2025-10-20T04:04:27+00:00
INC-20251019-025448,STA-074,Water Tender,2025-10-19T21:15:27+00:00,2025-10-20T04:18:27+00:00
INC-20230809-025449,STA-051,Primary Engine,2023-08-09T19:37:31+00:00,2023-08-09T22:06:31+00:00
INC-20230809-025449,STA-029,Primary Engine,2023-08-09T19:36:31+00:00,2023-08-09T22:13:31+00:00
INC-20240606-025450,STA-085,Hazmat Unit,2024-06-06T23:20:37+00:00,2024-06-07T00:37:37+00:00
INC-20240606-025450,STA-057,Water Tender,2024-06-06T23:18:37+00:00,2024-06-07T00:42:37+00:00
INC-20240606-025450,STA-007,Water Tender,2024-06-06T23:20:37+00:00,2024-06-07T00:42:37+00:00
INC-20250209-025451,STA-095,Hazmat Unit,2025-02-09T20:38:59+00:00,2025-02-10T02:27:59+00:00
INC-20250209-025451,STA-025,Primary Engine,2025-02-09T20:35:59+00:00,2025-02-10T02:00:59+00:00
INC-20250209-025451,STA-088,Rescue Squad,2025-02-09T20:37:59+00:00,2025-02-10T02:22:59+00:00
INC-20250108-025452,STA-019,Primary Engine,2025-01-08T00:37:44+00:00,2025-01-08T08:11:44+00:00
INC-20250108-025452,STA-047,Water Tender,2025-01-08T00:36:44+00:00,2025-01-08T07:47:44+00:00
INC-20250108-025452,STA-091,Battalion Chief,2025-01-08T00:34:44+00:00,2025-01-08T07:53:44+00:00
INC-20240222-025453,STA-061,Hazmat Unit,2024-02-22T09:39:48+00:00,2024-02-22T11:37:48+00:00
INC-20240222-025453,STA-035,Rescue Squad,2024-02-22T09:39:48+00:00,2024-02-22T11:29:48+00:00
INC-20251020-025454,STA-040,Battalion Chief,2025-10-20T03:53:55+00:00,2025-10-20T09:38:55+00:00
INC-20250428-025455,STA-082,Rescue Squad,2025-04-28T13:39:13+00:00,2025-04-28T20:35:13+00:00
INC-20250428-025455,STA-014,Primary Engine,2025-04-28T13:40:13+00:00,2025-04-28T20:29:13+00:00
INC-20250428-025455,STA-013,Hazmat Unit,2025-04-28T13:41:13+00:00,2025-04-28T20:29:13+00:00
INC-20241207-025456,STA-088,Hazmat Unit,2024-12-07T01:11:28+00:00,2024-12-07T07:26:28+00:00
INC-20241227-025457,STA-059,Battalion Chief,2024-12-27T21:58:23+00:00,2024-12-28T03:49:23+00:00
INC-20241227-025457,STA-011,Ladder Truck,2024-12-27T22:01:23+00:00,2024-12-28T03:48:23+00:00
INC-20241227-025457,STA-043,Ladder Truck,2024-12-27T22:01:23+00:00,2024-12-28T04:06:23+00:00
INC-20250330-025458,STA-051,Battalion Chief,2025-03-30T12:54:19+00:00,2025-03-30T17:54:19+00:00
INC-20240721-025459,STA-007,Battalion Chief,2024-07-21T02:33:27+00:00,2024-07-21T09:25:27+00:00
INC-20240721-025459,STA-060,Water Tender,2024-07-21T02:32:27+00:00,2024-07-21T08:49:27+00:00
INC-20240304-025460,STA-086,Ladder Truck,2024-03-04T13:01:53+00:00,2024-03-04T19:43:53+00:00
INC-20240304-025460,STA-064,Battalion Chief,2024-03-04T13:01:53+00:00,2024-03-04T19:44:53+00:00
INC-20240218-025461,STA-099,Primary Engine,2024-02-18T06:43:52+00:00,2024-02-18T09:04:52+00:00
INC-20240218-025461,STA-100,Rescue Squad,2024-02-18T06:45:52+00:00,2024-02-18T08:48:52+00:00
INC-20250325-025462,STA-040,Ladder Truck,2025-03-25T04:12:40+00:00,2025-03-25T06:51:40+00:00
INC-20250325-025462,STA-004,Primary Engine,2025-03-25T04:13:40+00:00,2025-03-25T06:44:40+00:00
INC-20250325-025462,STA-077,Battalion Chief,2025-03-25T04:15:40+00:00,2025-03-25T06:46:40+00:00
INC-20250920-025463,STA-030,Ladder Truck,2025-09-20T07:46:17+00:00,2025-09-20T12:11:17+00:00
INC-20250920-025463,STA-082,Battalion Chief,2025-09-20T07:44:17+00:00,2025-09-20T12:33:17+00:00
INC-20250703-025464,STA-087,Rescue Squad,2025-07-03T07:44:40+00:00,2025-07-03T14:18:40+00:00
INC-20250401-025465,STA-049,Primary Engine,2025-04-01T06:15:57+00:00,2025-04-01T14:39:57+00:00
INC-20250401-025465,STA-022,Ladder Truck,2025-04-01T06:16:57+00:00,2025-04-01T14:26:57+00:00
INC-20250401-025465,STA-044,Rescue Squad,2025-04-01T06:14:57+00:00,2025-04-01T14:22:57+00:00
INC-20241125-025466,STA-061,Ladder Truck,2024-11-25T01:56:13+00:00,2024-11-25T08:02:13+00:00
INC-20241125-025466,STA-070,Ladder Truck,2024-11-25T01:58:13+00:00,2024-11-25T07:56:13+00:00
INC-20240604-025467,STA-015,Ladder Truck,2024-06-04T01:17:16+00:00,2024-06-04T09:55:16+00:00
INC-20240604-025467,STA-055,Rescue Squad,2024-06-04T01:15:16+00:00,2024-06-04T09:58:16+00:00
INC-20240604-025467,STA-052,Battalion Chief,2024-06-04T01:19:16+00:00,2024-06-04T09:38:16+00:00
INC-20240215-025468,STA-006,Rescue Squad,2024-02-15T19:25:03+00:00,2024-02-16T03:35:03+00:00
INC-20241231-025469,STA-077,Ladder Truck,2024-12-31T23:19:38+00:00,2025-01-01T04:51:38+00:00
INC-20241231-025469,STA-047,Rescue Squad,2024-12-31T23:20:38+00:00,2025-01-01T04:47:38+00:00
INC-20241231-025469,STA-066,Hazmat Unit,2024-12-31T23:18:38+00:00,2025-01-01T05:16:38+00:00
INC-20250926-025470,STA-035,Hazmat Unit,2025-09-26T01:14:14+00:00,2025-09-26T04:32:14+00:00
INC-20250926-025470,STA-089,Primary Engine,2025-09-26T01:11:14+00:00,2025-09-26T04:37:14+00:00
INC-20250206-025471,STA-094,Primary Engine,2025-02-06T06:17:51+00:00,2025-02-06T13:02:51+00:00
INC-20250502-025472,STA-067,Rescue Squad,2025-05-02T14:36:08+00:00,2025-05-02T16:58:08+00:00
INC-20250502-025472,STA-100,Rescue Squad,2025-05-02T14:37:08+00:00,2025-05-02T17:06:08+00:00
INC-20250703-025473,STA-070,Water Tender,2025-07-03T00:14:28+00:00,2025-07-03T01:35:28+00:00
INC-20240901-025474,STA-073,Water Tender,2024-09-01T10:21:27+00:00,2024-09-01T15:03:27+00:00
INC-20240901-025474,STA-054,Water Tender,2024-09-01T10:19:27+00:00,2024-09-01T15:23:27+00:00
INC-20240901-025474,STA-065,Rescue Squad,2024-09-01T10:21:27+00:00,2024-09-01T14:57:27+00:00
INC-20240514-025475,STA-073,Ladder Truck,2024-05-14T16:08:27+00:00,2024-05-14T20:04:27+00:00
INC-20250918-025476,STA-016,Primary Engine,2025-09-18T14:05:04+00:00,2025-09-18T19:46:04+00:00
INC-20250918-025476,STA-071,Hazmat Unit,2025-09-18T14:07:04+00:00,2025-09-18T19:12:04+00:00
INC-20241230-025477,STA-071,Rescue Squad,2024-12-30T04:20:57+00:00,2024-12-30T12:01:57+00:00
INC-20241230-025477,STA-005,Rescue Squad,2024-12-30T04:22:57+00:00,2024-12-30T11:54:57+00:00
INC-20241230-025477,STA-083,Ladder Truck,2024-12-30T04:20:57+00:00,2024-12-30T12:12:57+00:00
INC-20250122-025478,STA-026,Rescue Squad,2025-01-22T14:53:40+00:00,2025-01-22T22:54:40+00:00
INC-20250403-025479,STA-045,Hazmat Unit,2025-04-03T06:13:53+00:00,2025-04-03T09:10:53+00:00
INC-20250403-025479,STA-003,Ladder Truck,2025-04-03T06:10:53+00:00,2025-04-03T09:25:53+00:00
INC-20250403-025479,STA-040,Hazmat Unit,2025-04-03T06:10:53+00:00,2025-04-03T09:32:53+00:00
INC-20250128-025480,STA-070,Rescue Squad,2025-01-28T06:58:43+00:00,2025-01-28T13:58:43+00:00
INC-20250128-025480,STA-011,Hazmat Unit,2025-01-28T06:55:43+00:00,2025-01-28T13:42:43+00:00
INC-20250220-025481,STA-007,Water Tender,2025-02-20T09:39:36+00:00,2025-02-20T16:02:36+00:00
INC-20250220-025481,STA-048,Rescue Squad,2025-02-20T09:39:36+00:00,2025-02-20T16:15:36+00:00
INC-20250220-025481,STA-057,Water Tender,2025-02-20T09:37:36+00:00,2025-02-20T16:19:36+00:00
INC-20251114-025482,STA-012,Rescue Squad,2025-11-14T14:59:24+00:00,2025-11-14T15:02:24+00:00
INC-20251114-025482,STA-038,Rescue Squad,2025-11-14T14:58:24+00:00,2025-11-14T15:10:24+00:00
INC-20250412-025483,STA-055,Water Tender,2025-04-12T04:32:42+00:00,2025-04-12T09:47:42+00:00
INC-20241213-025484,STA-035,Primary Engine,2024-12-13T12:24:06+00:00,2024-12-13T13:54:06+00:00
INC-20241213-025484,STA-074,Ladder Truck,2024-12-13T12:27:06+00:00,2024-12-13T13:45:06+00:00
INC-20241213-025484,STA-093,Ladder Truck,2024-12-13T12:26:06+00:00,2024-12-13T13:30:06+00:00
INC-20250412-025485,STA-068,Water Tender,2025-04-12T19:21:05+00:00,2025-04-12T20:41:05+00:00
INC-20240712-025486,STA-053,Water Tender,2024-07-12T03:30:44+00:00,2024-07-12T04:30:44+00:00
INC-20230611-025487,STA-097,Rescue Squad,2023-06-11T18:14:07+00:00,2023-06-11T22:32:07+00:00
INC-20250616-025488,STA-061,Rescue Squad,2025-06-16T23:29:13+00:00,2025-06-17T02:29:13+00:00
INC-20250616-025488,STA-056,Hazmat Unit,2025-06-16T23:28:13+00:00,2025-06-17T02:31:13+00:00
INC-20250616-025488,STA-077,Rescue Squad,2025-06-16T23:28:13+00:00,2025-06-17T02:45:13+00:00
INC-20251106-025489,STA-090,Rescue Squad,2025-11-06T06:10:14+00:00,2025-11-06T11:03:14+00:00
INC-20251106-025489,STA-023,Ladder Truck,2025-11-06T06:10:14+00:00,2025-11-06T10:56:14+00:00
INC-20251106-025489,STA-037,Rescue Squad,2025-11-06T06:13:14+00:00,2025-11-06T11:13:14+00:00
INC-20250314-025490,STA-091,Water Tender,2025-03-14T06:22:40+00:00,2025-03-14T13:47:40+00:00
INC-20250314-025490,STA-047,Battalion Chief,2025-03-14T06:21:40+00:00,2025-03-14T13:56:40+00:00
INC-20250314-025490,STA-003,Hazmat Unit,2025-03-14T06:20:40+00:00,2025-03-14T13:18:40+00:00
INC-20250423-025491,STA-006,Rescue Squad,2025-04-23T21:20:08+00:00,2025-04-23T22:56:08+00:00
INC-20250927-025492,STA-098,Ladder Truck,2025-09-27T07:06:04+00:00,2025-09-27T12:28:04+00:00
INC-20240131-025493,STA-093,Rescue Squad,2024-01-31T15:53:24+00:00,2024-02-01T00:10:24+00:00
INC-20240131-025493,STA-052,Primary Engine,2024-01-31T15:54:24+00:00,2024-01-31T23:53:24+00:00
INC-20240131-025493,STA-084,Hazmat Unit,2024-01-31T15:50:24+00:00,2024-01-31T23:54:24+00:00
INC-20240523-025494,STA-033,Rescue Squad,2024-05-23T05:32:33+00:00,2024-05-23T09:20:33+00:00
INC-20250321-025495,STA-062,Ladder Truck,2025-03-21T01:38:02+00:00,2025-03-21T09:27:02+00:00
INC-20250321-025495,STA-084,Water Tender,2025-03-21T01:36:02+00:00,2025-03-21T09:33:02+00:00
INC-20250821-025496,STA-035,Hazmat Unit,2025-08-21T00:51:21+00:00,2025-08-21T08:16:21+00:00
INC-20250821-025496,STA-026,Ladder Truck,2025-08-21T00:50:21+00:00,2025-08-21T08:35:21+00:00
INC-20250716-025497,STA-027,Battalion Chief,2025-07-16T06:53:40+00:00,2025-07-16T08:54:40+00:00
INC-20250716-025497,STA-044,Water Tender,2025-07-16T06:55:40+00:00,2025-07-16T08:38:40+00:00
INC-20250716-025497,STA-085,Battalion Chief,2025-07-16T06:55:40+00:00,2025-07-16T08:39:40+00:00
INC-20250708-025498,STA-054,Rescue Squad,2025-07-08T10:41:38+00:00,2025-07-08T18:43:38+00:00
INC-20250916-025499,STA-031,Water Tender,2025-09-16T08:44:47+00:00,2025-09-16T12:15:47+00:00
INC-20230418-025500,STA-086,Primary Engine,2023-04-18T06:09:26+00:00,2023-04-18T08:23:26+00:00
INC-20250406-025501,STA-064,Rescue Squad,2025-04-06T16:39:58+00:00,2025-04-06T17:36:58+00:00
INC-20250406-025501,STA-030,Water Tender,2025-04-06T16:40:58+00:00,2025-04-06T17:51:58+00:00
INC-20240807-025502,STA-071,Primary Engine,2024-08-07T14:55:53+00:00,2024-08-07T22:05:53+00:00
INC-20231024-025503,STA-026,Rescue Squad,2023-10-24T20:18:04+00:00,2023-10-24T22:22:04+00:00
INC-20231024-025503,STA-054,Hazmat Unit,2023-10-24T20:17:04+00:00,2023-10-24T22:29:04+00:00
INC-20230513-025504,STA-005,Hazmat Unit,2023-05-13T14:18:18+00:00,2023-05-13T20:31:18+00:00
INC-20250314-025505,STA-078,Battalion Chief,2025-03-14T12:31:29+00:00,2025-03-14T15:59:29+00:00
INC-20250314-025505,STA-056,Battalion Chief,2025-03-14T12:31:29+00:00,2025-03-14T16:07:29+00:00
INC-20250314-025505,STA-063,Rescue Squad,2025-03-14T12:34:29+00:00,2025-03-14T15:38:29+00:00
INC-20250315-025506,STA-040,Rescue Squad,2025-03-15T08:10:58+00:00,2025-03-15T11:18:58+00:00
INC-20250811-025507,STA-022,Water Tender,2025-08-11T01:38:15+00:00,2025-08-11T09:09:15+00:00
INC-20250303-025508,STA-071,Water Tender,2025-03-03T00:42:27+00:00,2025-03-03T02:51:27+00:00
INC-20250303-025508,STA-033,Battalion Chief,2025-03-03T00:42:27+00:00,2025-03-03T03:07:27+00:00
INC-20250601-025509,STA-069,Water Tender,2025-06-01T04:43:25+00:00,2025-06-01T09:04:25+00:00
INC-20250601-025509,STA-029,Ladder Truck,2025-06-01T04:43:25+00:00,2025-06-01T09:34:25+00:00
INC-20250601-025509,STA-073,Water Tender,2025-06-01T04:47:25+00:00,2025-06-01T09:10:25+00:00
INC-20241120-025510,STA-046,Primary Engine,2024-11-20T12:15:19+00:00,2024-11-20T15:53:19+00:00
INC-20241120-025510,STA-083,Ladder Truck,2024-11-20T12:17:19+00:00,2024-11-20T15:51:19+00:00
INC-20241120-025510,STA-012,Rescue Squad,2024-11-20T12:14:19+00:00,2024-11-20T15:58:19+00:00
INC-20250623-025511,STA-056,Rescue Squad,2025-06-23T00:49:37+00:00,2025-06-23T02:20:37+00:00
INC-20250604-025512,STA-064,Water Tender,2025-06-04T19:34:23+00:00,2025-06-05T00:07:23+00:00
INC-20250604-025512,STA-085,Water Tender,2025-06-04T19:35:23+00:00,2025-06-05T00:05:23+00:00
